的 de/di2/di4
林 lin2
基 ji1
服 fu2
带 dai4
据 ju1/ju4
界 jie4
云 yun2
觉 jiao4/jue2
像 xiang4
院 yuan4
飞 fei1
远 yuan3
收 shou1
石 dan4/shi2
众 zhong4
车 che1/ju1
候 hou4
类 lei4
程 cheng2
转 zhuan3/zhuan4
共 gong4
千 qian1
式 shi4
失 shi1
流 liu2
每 mei3
该 gai1
朝 chao2/zhao1
始 shi3
连 lian2
术 shu4/zhu2
近 jin4
格 ge2
济 ji4
干 gan1/gan4
运 yun4
怎 zen3
步 bu4
台 tai2
让 rang4
江 jiang1
河 he2
识 shi2/zhi4
规 gui1
拉 la1
切 qie1/qie4
极 ji2
持 chi2
若 ruo4
英 ying1
争 zheng1
功 gong1
深 shen1
备 bei4
造 zao4
阳 yang2
快 kuai4
集 ji2
布 bu4
尽 jin3/jin4
周 zhou1
宗 zong1
病 bing4
华 hua2/hua4
称 chen4/cheng1/cheng4
罗 luo1/luo2
爱 ai4
导 dao3
确 que4
呢 ne/ni2
办 ban4
节 jie2/jie1
根 gen1
击 ji1
商 shang1
陈 chen2
火 huo3
兴 xing1/xing4
京 jing1
注 zhu4
虽 sui1
杀 sha1
父 fu4
存 cun2
臣 chen2
准 zhun3
广 guang3
首 shou3
乎 hu1
具 ju4
甚 shen4
黄 huang2
满 man3
容 rong2
单 chan2/dan1/shan4
联 lian2
调 diao4/tiao2
吃 chi1/ji2
古 gu3
算 suan4
坐 zuo4
早 zao3
引 yin3
须 xu1
离 li2
证 zheng4
约 yao1/yue1
母 mu3
组 zu3
房 fang2
曾 ceng2/zeng1
似 si4
易 yi4
随 sui2
精 jing1
视 shi4
尚 shang4
断 duan4
乃 nai3
影 ying3
除 chu2
青 qing1
初 chu1
息 xi1
守 shou3
党 dang3
半 ban4
县 xian4
轻 qing1
质 zhi4
语 yu3/yu4
越 yue4
况 kuang4
举 ju3
皇 huang2
钱 qian2
历 li4
留 liu2
乐 le4/yue4
章 zhang1
照 zhao4
器 qi4
写 xie3
团 tuan2
诸 zhu1
闻 wen2
亦 yi4
足 zu2
余 yu2
整 zheng3
价 jia4/jie
号 hao2/hao4
级 ji2
参 can1/shen1
示 shi4
支 zhi1
红 hong2
阿 a1/a4/a/e1
消 xiao1
图 tu2
星 xing1
落 la4/luo4
礼 li3
营 ying2
增 zeng1
土 tu3
际 ji4
致 zhi4
志 zhi4
夜 ye4
需 xu1
皆 jie1
左 zuo3
究 jiu1
汉 han4
念 nian4
既 ji4
送 song4
显 xian3
置 zhi4
亚 ya4
推 tui1
居 ju1
列 lie4
君 jun1
包 bao1
技 ji4
线 xian4
弟 di4
客 ke4
委 wei1/wei3
终 zhong1
选 xuan3
龙 long2
势 shi4
考 kao3
右 you4
属 shu3/zhu3
酒 jiu3
农 nong2
片 pian1/pian4
希 xi1
破 po4
谓 wei4
喜 xi3
费 fei4
谈 tan2
音 yin1
查 cha2/zha1
专 zhuan1
止 zhi3
吗 ma3/ma
找 zhao3
食 shi2/si4
装 zhuang1
绝 jue2
答 da1/da2
敌 di2
害 hai4
密 mi4
研 yan2
刘 liu2
依 yi1
按 an4
久 jiu3
宝 bao3
攻 gong1
企 qi3
案 an4
察 cha2
黑 hei1
突 tu1
倒 dao3/dao4
局 ju2
投 tou2
衣 yi1/yi4
愿 yuan4
省 sheng3/xing3
欲 yu4
率 lu:4/shuai4/lv4
严 yan2
待 dai1/dai4
归 gui1
医 yi1
玉 yu4
船 chuan2
奇 ji1/qi2
护 hu4
卫 wei4
岁 sui4
律 lu:4/lv4
标 biao1
罪 zui4
吧 ba1/ba
群 qun2
春 chun1
响 xiang3
仍 reng2
某 mou3
细 xi4
承 cheng2
拿 na2
施 shi1
急 ji2
职 zhi2
另 ling4
敢 gan3
跟 gen1
讲 jiang3
防 fang2
独 du2
责 ze2
较 jiao4
威 wei1
苏 su1
双 shuang1
善 shan4
校 jiao4/xiao4
友 you3
围 wei2
仅 jin3
纪 ji4
族 zu2
谁 shei2/shui2
惊 jing1
底 de/di3
孩 hai2
革 ge2
维 wei2
巴 ba1
供 gong1/gong4
斗 dou3/dou4
降 jiang4/xiang2
卷 juan3/juan4
姐 jie3
封 feng1
构 gou4
站 zhan4
验 yan4
苦 ku3
差 cha1/cha4/chai1/ci1
刻 ke4
益 yi4
派 pai4
紧 jin3
料 liao4
异 yi4
例 li4
祖 zu3
宫 gong1
乱 luan4
素 su4
怕 pa4
男 nan2
效 xiao4
般 ban1
段 duan4
福 fu2
银 yin2
晚 wan3
宣 xuan1
户 hu4
游 you2
香 xiang1
采 cai3/cai4
修 xiu1
娘 niang2
木 mu4
态 tai4
够 gou4
划 hua2/hua4
续 xu4
境 jing4
米 mi3
假 jia3/jia4
微 wei1
试 shi4
伤 shang1
刚 gang1
状 zhuang4
兰 lan2
诉 su4
助 zhu4
征 zheng1
胜 sheng1/sheng4
竟 jing4
项 xiang4
继 ji4
爷 ye2
疑 yi2
印 yin4
速 su4
齐 qi2
低 di1
室 shi4
退 tui4
脸 lian3
限 xian4
热 re4
田 tian2
值 zhi2
怀 huai2
郎 lang2
纳 na4
氏 shi4
景 jing3
执 zhi2
型 xing2
欢 huan1
毛 mao2
免 mian3
略 lue4
批 pi1
犯 fan4
否 fou3/pi3
灵 ling2
药 yao4
射 she4
监 jian1/jian4
织 zhi1
陆 liu4/lu4
句 ju4
孙 sun1
兄 xiong1
罢 ba4/ba
劳 lao2
获 huo4
旧 jiu4
网 wang3
预 yu4
忙 mang2
贵 gui4
错 cuo4
树 shu4
追 zhui1
临 lin2
伯 bo2
育 yu4
普 pu3
诗 shi1
副 fu4
充 chong1
永 yong3
财 cai2
适 shi4
圣 sheng4
血 xie3/xue4
弹 dan4/tan2
拜 bai4
雷 lei2
妇 fu4
哪 na3/na/nei3
源 yuan2
遂 sui4/sui2
创 chuang1/chuang4
胡 hu2
习 xi2
负 fu4
策 ce4
败 bai4
宋 song4
御 yu4
讨 tao3
富 fu4
尼 ni2
范 fan4
球 qiu2
秋 qiu1
冲 chong1/chong4
恩 en1
哥 ge1
寻 xun2
恶 e3/e4/wu4
停 ting2
良 liang2
股 gu3
险 xian3
波 bo1
刺 ci4
述 shu4
谢 xie4
环 huan2
莫 mo4
脑 nao3
草 cao3
忽 hu1
侍 shi4
静 jing4
散 san3/san4
判 pan4
养 yang3
积 ji1
遣 qian3
怪 guai4
耳 er3
镇 zhen4
登 deng1
遇 yu4
恐 kong3
唐 tang2
堂 tang2
诏 zhao4
著 zhu4/zhe
幸 xing4
排 pai2/pai3
简 jian3
宁 ning2
升 sheng1
检 jian3
铁 tie3
角 jiao3/jue2
顾 gu4
村 cun1
读 dou4/du2
挥 hui1
矣 yi3
冷 leng3
模 mo2
佛 fo2/fu2
杨 yang2
梦 meng4
救 jiu4
阵 zhen4
哈 ha1/ha3
暗 an4
买 mai3
督 du1
楚 chu3
配 pei4
痛 tong4
授 shou4
肯 ken3
雨 yu3
占 zhan1/zhan4
楼 lou2
呼 hu1
顺 shun4
阴 yin1
吾 wu2
奏 zou4
固 gu4
皮 pi2
警 jing3
甲 jia3
担 dan1/dan4
妈 ma1
坚 jian1
阶 jie1
忠 zhong1
背 bei1/bei4
姓 xing4
索 suo3
穿 chuan1
吴 wu2
凡 fan2
吉 ji2
激 ji1
审 shen3
剑 jian4
层 ceng2
洲 zhou1
脚 jiao3/jue2
乡 xiang1
沙 sha1
托 tuo1
奉 feng4
沉 chen2
亡 wang2
康 kang1
宜 yi2
超 chao1
谋 mou2
演 yan3
协 xie2
湖 hu2
姑 gu1
赵 zhao4
付 fu4
班 ban1
招 zhao1
夏 xia4
掌 zhang3
减 jian3
伊 yi1
妻 qi1/qi4
鲁 lu3
野 ye3
释 shi4
亮 liang4
顿 dun4
录 lu4
丁 ding1
移 yi2
危 wei1
税 shui4
座 zuo4
优 you1
烈 lie4
卡 ka3/qia3
丽 li2/li4
遗 yi2
画 hua4
屋 wu1
您 nin2
鱼 yu2
慢 man4
露 lu4/lou4
啊 a1/a2/a3/a4/a
端 duan1
徒 tu2
坏 huai4
杂 za2
渐 jian1/jian4
藏 cang2/zang4
压 ya1/ya4
贼 zei2
温 wen1
卿 qing1
帮 bang1
松 song1
换 huan4
侯 hou2
抗 kang4
午 wu3
郡 jun4
洋 yang2
席 xi2
艺 yi4
禁 jin1/jin4
赶 gan3
牛 niu2
申 shen1
仙 xian1
误 wu4
钟 zhong1
块 kuai1/kuai4
饭 fan4
迎 ying2
货 huo4
补 bu3
博 bo2
智 zhi4
仁 ren2
款 kuan3
毕 bi4
延 yan2
隐 yin3
私 si1
谷 gu3/yu4
附 fu4
骑 qi2
郑 zheng4
殿 dian4
叶 ye4
虎 hu3
载 zai3/zai4
航 hang2
控 kong4
刑 xing2
荣 rong2
央 yang1
概 gai4
庄 zhuang1
岛 dao3
脱 tuo1
介 jie4
盖 gai4/ge3
序 xu4
秦 qin2
庭 ting2
词 ci2
睡 shui4
召 shao4/zhao4
怒 nu4
枪 qiang1
跑 pao3
虑 lu:4/lv4
靠 kao4
味 wei4
献 xian4
曲 qu1/qu3
笔 bi3
雪 xue3
份 fen4
仪 yi2
困 kun3/kun4
庆 qing4
旁 pang2
互 hu4
灭 mie4
梁 liang2
园 yuan2
评 ping2
短 duan3
川 chuan1
编 bian1
探 tan4
歌 ge1/ge1ge
乘 cheng2
蒙 meng1/meng2/meng3
鬼 gui3
欧 ou1
洛 luo4
烟 yan1
尊 zun1
休 xiu1
朋 peng2
典 dian3
架 jia4
犹 you2
徐 xu2
秘 mi4
逃 tao2
核 he2
雄 xiong2
版 ban3
勒 le4/lei1
泽 ze2
掉 diao4
魏 wei4
刀 dao1
缺 que1
均 jun1
摇 yao2
喝 he1/he4
敬 jing4
卖 mai4
损 sun3
卒 cu4/zu2
括 kuo4
域 yu4
迁 qian1
测 ce4
虚 xu1
逐 zhu2
毫 hao2
避 bi4
借 jie4
辞 ci2
牙 ya2
额 e2
岸 an4
赐 ci4
予 yu2/yu3
舍 she3/she4
洞 dong4
扬 yang2
湾 wan1
馆 guan3
舰 jian4
鼓 gu3
盛 cheng2/sheng4
巨 ju4
板 ban3
材 cai2
鲜 xian1/xian3
输 shu1
遍 bian4
肉 rou4
含 han2
择 ze2/zhai2
秀 xiu4
毒 du2
篇 pian1
兼 jian1
婚 hun1
呀 ya/ya1
妹 mei4
伦 lun2
访 fang3
骨 gu3
陵 ling2
弄 long4/nong4
诚 cheng2
炮 pao4
盘 pan2
旅 lu:3/lv3
店 dian4
销 xiao1
疾 ji2
俄 e2
末 mo4
贤 xian2
孝 xiao4
哭 ku1
床 chuang2
吏 li4
健 jian4
朱 zhu1
戏 xi4
票 piao4
晋 jin4
韩 han2
岂 qi3
迹 ji1/ji4
伏 fu2
忘 wang4
剧 ju4
奔 ben1/ben4
顶 ding3
油 you2
跳 tiao4
弃 qi4
睛 jing1
辛 xin1
彼 bi3
厚 hou4
练 lian4
暴 bao4
训 xun4
丝 si1
纸 zhi3
珠 zhu1
尤 you2
丈 zhang4
束 shu4
唯 wei2/wei3
嘴 zui3
港 gang3
吸 xi1
孔 kong3
弱 ruo4
折 she2/zhe2
灯 deng1
震 zhen4
替 ti4
诺 nuo4
翻 fan1
塞 sai1/sai4/se4
梅 mei2
舞 wu3
丹 dan1
赞 zan4
遭 zao1
廷 ting2
熟 shu2
雅 ya3
疗 liao2
婆 po2
庙 miao4
厂 chang3
库 ku4
袭 xi2
叔 shu1
尝 chang2
凤 feng4
侵 qin1
赏 shang3
抚 fu3
忍 ren3
醒 xing3
默 mo4
拥 yong1
迫 po4
绿 lu:4/lv4
页 ye4
奥 ao4
勇 yong3
街 jie1
昌 chang1
缘 yuan2
累 lei2/lei3/lei4
玄 xuan2
轮 lun2
抱 bao4
窗 chuang1
抓 zhua1
废 fei4
冰 bing1
振 zhen4
童 tong2
丰 feng1
玩 wan2/wan4
宽 kuan1
萨 sa4
夺 duo2
杜 du4
焉 yan1
潜 qian2
趣 qu4
抵 di3
隆 long1/long2
符 fu2
乌 wu1
役 yi4
俱 ju1/ju4
伙 huo3
炸 zha2/zha4
塔 ta3
罚 fa2
茶 cha2
坦 tan3
彩 cai3
曹 cao2
泰 tai4
叹 tan4
础 chu3
途 tu2
奶 nai3
寒 han2
残 can2
寿 shou4
患 huan4
奴 nu2
晓 xiao3
恨 hen4
悲 bei1
猛 meng3
圆 yuan2
缓 huan3
冬 dong1
丧 sang1/sang4
帅 shuai4
软 ruan3
握 wo4
纵 zong1/zong4
巡 xun2
筑 zhu2/zhu4
饮 yin3
崇 chong2
贾 gu3/jia3
洪 hong2
耶 ye1
操 cao1
烧 shao1
妙 miao4
赛 sai4
摆 bai3
尉 wei4
宇 yu3
麻 ma2
稳 wen3
惟 wei2
粮 liang2
森 sen1
绍 shao4
陷 xian4
杰 jie2
偏 pian1
孤 gu1
违 wei2
悉 xi1
毁 hui3
援 yuan2
纯 chun2
巧 qiao3
横 heng2/heng4
迷 mi2
爸 ba4
旨 zhi3
闲 xian2
俗 su2
番 fan1/pan1
季 ji4
贝 bei4
聚 ju4
亿 yi4
套 tao4
灾 zai1
泪 lei4
忧 you1
狂 kuang2
喊 han3
戴 dai4
纷 fen1
透 tou4
蒋 jiang3
析 xi1
浪 lang4
盟 meng2
薄 bo2/bo4/bao2
殊 shu1
阻 zu3
竞 jing4
旗 qi2
闪 shan3
柳 liu3
姆 mu3
扩 kuo4
允 yun3
驾 jia4
混 hun2/hun4
僧 seng1
植 zhi2
哲 zhe2
穷 qiong2
乙 yi3
埃 ai1
旦 dan4
伟 wei3
桥 qiao2
珍 zhen1
促 cu4
嘉 jia1
烦 fan2
燕 yan1/yan4
祭 ji4/zhai4
墙 qiang2
径 jing4
购 gou4
拍 pai1
尺 chi3
伸 shen1
鸟 niao3
仲 zhong4
挂 gua4
币 bi4
洗 xi3
贫 pin2
启 qi3
距 ju4
劝 quan4
辰 chen2
盗 dao4
努 nu3
桌 zhuo1
仆 pu1/pu2
染 ran3
厅 ting1
针 zhen1
疏 shu1
贸 mao4
荒 huang1
裁 cai2
迅 xun4
阁 ge2
惠 hui4
迟 chi2
沿 yan2/yan4
享 xiang3
闭 bi4
侧 ce4/zhai1
拔 ba2
贡 gong4
凶 xiong1
捕 bu3
唱 chang4
措 cuo4
丞 cheng2
抽 chou1
课 ke4
闹 nao4
尾 wei3
络 lao4/luo4
杯 bei1
衡 heng2
翼 yi4
汝 ru3
稍 shao1
愈 yu4
蓝 la/lan2
颜 yan2
邪 xie2
瑞 rui4
丑 chou3
宿 su4/xiu3/xiu4
壁 bi4
羊 yang2
芳 fang1
售 shou4
倾 qing1
咱 za2/zan2
冒 mao4
瓦 wa3
麦 mai4
宾 bin1
魔 mo2
赤 chi4
摩 mo2
硬 ying4
署 shu3
寺 si4
牌 pai2
恰 qia4
魂 hun2
偷 tou1
紫 zi3
淮 huai2
弗 fu2
菜 cai4
莱 lai2
涉 she4
驻 zhu4
狱 yu4
孟 meng4
昭 zhao1
吹 chui1
镜 jing4
狗 gou3
融 rong2
拒 ju4
渡 du4
骸 hai2
惧 ju4
甘 gan1
肃 su4
培 pei2
冠 guan1/guan4
彻 che4
井 jing3
俊 jun4
骂 ma4
触 chu4
订 ding4
赖 lai4
怨 yuan4
搞 gao3
仰 yang3
恭 gong1
隔 ge2
爵 jue2
朗 lang3
详 xiang2
译 yi4
净 jing4
枝 zhi1
繁 fan2
侠 xia2
浮 fu2
奋 fen4
汇 hui4
暂 zan4
吕 lu:3/lv3
奖 jiang3
幽 you1
垂 chui2
耐 nai4
津 jin1
宪 xian4
眉 mei2
戒 jie4
啦 la1/la
签 qian1
邦 bang1
宰 zai3
颇 po1
讯 xun4
伴 ban4
壮 zhuang4
灰 hui1
帐 zhang4
昨 zuo2
厉 li4
籍 ji2
贯 guan4
贺 he4
惯 guan4
挑 tiao1/tiao3
鸡 ji1
奈 nai4
伐 fa2
偶 ou3
惜 xi1
胆 dan3
陛 bi4
淡 dan4
旋 xuan2/xuan4
沈 chen2/shen3
懂 dong3
凭 ping2
辈 bei4
虫 chong2
岳 yue4
障 zhang4
倍 bei4
仇 chou2/qiu2
萧 xiao1
辩 bian4
曼 man4
妖 yao1
赋 fu4
卢 lu2
抬 tai2
仿 fang3
债 zhai4
赴 fu4
泉 quan2
汽 qi4
幕 mu4
播 bo1
恢 hui1
竹 zhu2
奸 jian1
零 ling2
潮 chao2
呆 dai1
朔 shuo4
刊 kan1
禄 lu4
桑 sang1
尸 shi1
汤 tang1
鸣 ming2
幼 you4
悄 qiao3/qiao1
撤 che4
斩 zhan3
炎 yan2
鼻 bi2
箭 jian4
慈 ci2
荡 dang4
泛 fan4
郭 guo1
缩 suo1
扶 fu2
艾 ai4
赠 zeng4
玛 ma3
昏 hun1
映 ying4
腰 yao1
晨 chen2
豪 hao2
貌 mao4
赫 he4
描 miao2
岩 yan2
袋 dai4
胸 xiong1
池 chi2
勤 qin2
祥 xiang2
隶 li4
穆 mu4
粗 cu1
裂 lie4
荷 he2/he4
凉 liang2
症 zheng1/zheng4
汗 han4
贞 zhen1
彭 peng2
敏 min3
寄 ji4
租 zu1
爆 bao4
哀 ai1
润 run4
舒 shu1
腿 tui3
册 ce4
轰 hong1
掩 yan3
祝 zhu4
祸 huo4
摸 mo1/mo2
忆 yi4
偿 chang2
抢 qiang1/qiang3
怜 lian2
摄 she4
牧 mu4
丙 bing3
绪 xu4
逼 bi1
傅 fu4
乏 fa2
堆 dui1
庚 geng1
辅 fu3
瞧 qiao2
尖 jian1
董 dong3
惑 huo4
扰 rao3
趋 qu1
韦 wei2
黎 li2
哉 zai1
佳 jia1
返 fan3
阅 yue4
屈 qu1
吐 tu3/tu4
薛 xue1
圈 juan1/juan4/quan1
扫 sao3/sao4
驱 qu1
墨 mo4
碎 sui4
吓 xia4
估 gu1/gu4
劲 jin4/jing4
冯 feng2
锦 jin3
慰 wei4
肩 jian1
醉 zui4
剩 sheng4
逆 ni4
盐 yan2
邓 deng4
递 di4
粉 fen3
牵 qian1
辽 liao2
遵 zun1
陶 tao2
翰 han4
寇 kou4
悦 yue4
唤 huan4
遥 yao2
艘 sao1/sou1
扎 za1/zha1/zha2
乾 gan1/qian2
叛 pan4
碰 peng4
污 wu1
伍 wu3
叙 xu4
峰 feng1
饰 shi4
佩 pei4
绕 rao4
溃 kui4
慌 huang1
糊 hu2/hu4
匹 pi1/pi3
伪 wei3
腹 fu4
挺 ting3
幻 huan4
辑 ji2
撒 sa1/sa3
贴 tie1
泥 ni2/ni4
媒 mei2
壬 ren2
慧 hui4
仔 zi1/zi3/zai3
葬 zang4
胞 bao1
乞 qi3
亭 ting2
尘 chen2
码 ma3
欣 xin1
邻 lin2
恋 lian4
辆 liang4
焦 jiao1
嗣 si4
乔 qiao2
呈 cheng2
霍 huo4
拟 ni3
箱 xiang1
跃 yue4
仗 zhang4
莲 lian2
覆 fu4
锁 suo3
羽 yu3
咸 xian2
铺 pu1/pu4
陪 pei2
爬 pa2
戊 wu4
勿 wu4
飘 piao1
仓 cang1
诛 zhu1
漫 man4
夷 yi2
悟 wu4
撰 zhuan4
愤 fen4
辉 hui1
滑 gu3/hua2
幅 fu2
廉 lian2
宅 zhai2
丘 qiu1
寅 yin2
艇 ting3
谕 yu4
柔 rou2
迪 di2
弥 mi2
扑 pu1
撞 zhuang4
寸 cun4
胁 xie2
荆 jing1
蛋 dan4
巳 si4
频 pin2
唬 hu3
矿 kuang4
契 qi4
腾 teng2
插 cha1
碍 ai4
储 chu3
锋 feng1
龄 ling2
盾 dun4
兽 shou4
洁 jie2
桃 tao2
朕 zhen4
袁 yuan2
餐 can1
惨 can3
绩 ji1/ji4
儒 ru2
馀 yu2
谏 jian4
磨 mo2/mo4
搜 sou1
拖 tuo1
勃 bo2
舟 zhou1
诊 zhen3
豫 yu4
骗 pian4
聪 cong1
酸 suan1
屯 tun2/zhun1
综 zong1
堡 bao3/pu4
亏 kui1
牢 lao2
鉴 jian4
凯 kai3
昔 xi1
颗 ke1
殖 zhi2
慎 shen4
夕 xi1/xi4
癸 gui3
柱 zhu4
甫 fu3
袖 xiu4
宴 yan4
衰 cui1/shuai1
琴 qin2
铜 tong2
苍 cang1
菲 fei1
液 ye4
桂 gui4
愚 yu2
矛 mao2
励 li4
夹 jia1/jia2
歇 xie1
拾 shi2
翠 cui4
堪 kan1
踪 zong1
割 ge1
疲 pi2
宙 zhou4
掠 lue4/lue3
滚 gun3
腊 la4
埋 mai2/man2
酉 you3
佐 zuo3
欺 qi1
卯 mao3
亥 hai4
捉 zhuo1
妃 fei1
谨 jin3
蛇 she2
狄 di2
贪 tan1
厌 yan4
蒂 di4
耍 shua3
帕 pa4
截 jie2
蔡 cai4
柏 bai3/bo4
券 quan4
哩 li1/li3/li
鸿 hong2
敦 dun1
溪 qi1/xi1
蛮 man2
裕 yu4
朵 duo3
匆 cong1
秩 zhi4
庶 shu4
猎 lie4
猜 cai1
沟 gou1
邑 yi4
涂 tu2
弘 hong2
崔 cui1
逊 xun4
劫 jie2
跌 die1
荐 jian4
寨 zhai4
践 jian4
凝 ning2
浅 jian1/qian3
辖 xia2
坡 po1
狼 lang2
牲 sheng1
循 xun2
肥 fei2
逢 feng2
诱 you4
押 ya1
坛 tan2
玻 bo1
侦 zhen1
忌 ji4
恼 nao3
钦 qin1
霞 xia2
浑 hun2
畏 wei4
翁 weng1
殷 yan1/yin1/yin3
卧 wo4
询 xun2
丢 diu1
键 jian4
兹 zi1
躲 duo3
跪 gui4
饥 ji1
郊 jiao1
揭 jie1
邮 you2
履 lu:3/lv3
枢 shu1
彦 yan4
霸 ba4
悔 hui3
蜀 shu3
窃 qie4
慕 mu4
凌 ling2
戌 xu1
抑 yi4
桓 huan2
械 xie4
雾 wu4
臂 bi4
拢 long3
卜 bo/bu3
葛 ge2/ge3
浓 nong2
祀 si4
愁 chou2
贷 dai4
脉 mai4
捷 jie2
嫌 xian2
阔 kuo4
鞋 xie2
拨 bo1
艰 jian1
驶 shi3
漂 piao1/piao3/piao4
齿 chi3
椅 yi3
斜 xie2
墓 mu4
届 jie4
瓶 ping2
燃 ran2
狠 hen3
咬 yao3
屏 bing3/ping2
爹 die1
陕 shan3/Shan3
昆 kun1
咐 fu4
驰 chi2
寂 ji4
辨 bian4
丛 cong2
疯 feng1
稿 gao3
辟 bi4/pi4
岭 ling3
剂 ji4
辱 ru3
邀 yao1
览 lan3
帽 mao4
尹 yin3
腐 fu3
寡 gua3
悬 xuan2
敕 chi4
誉 yu4
嫁 jia4
稀 xi1
削 xiao1/xue1
闷 men1/men4
熙 xi1
粒 li4
於 yu1/yu2
襄 xiang1
钢 gang1
搭 da1
浙 zhe4
徽 hui1
兆 zhao4
锡 xi2/xi1
戈 ge1
豆 dou4
俩 lia3/liang3
纲 gang1
耕 geng1
